Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,512,8,4646,custom-token,128,4096,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,1024,8,4646,custom-token,128,4096,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,2048,8,4646,custom-token,128,4096,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,4096,8,4646,custom-token,128,4096,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,512,8,4646,custom-token,128,4096,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,1024,8,4646,custom-token,128,4096,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,2048,8,4646,custom-token,128,4096,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,4096,8,4646,custom-token,128,4096,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,64,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,128,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,256,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,512,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,1024,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,2048,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,4096,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,128,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,256,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,512,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,1024,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,2048,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,4096,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,256,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,512,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,1024,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,2048,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,4096,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,512,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,1024,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,2048,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,4096,8,2600,custom-token,500,2000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,64,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,128,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,256,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,512,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,1024,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,2048,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,4096,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,128,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,256,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,512,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,1024,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,2048,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,4096,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,256,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,512,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,1024,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,2048,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,4096,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,512,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,1024,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,2048,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,4096,8,2100,custom-token,1000,1000,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,64,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,128,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,256,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,512,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,1024,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,2048,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,4096,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,128,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,256,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,512,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,1024,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,2048,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,4096,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,256,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,512,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,1024,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,2048,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,4096,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,512,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,1024,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,2048,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,4096,8,2200,custom-token,2048,128,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,64,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,128,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,256,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,512,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,1024,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,2048,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,4096,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,128,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,256,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,512,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,1024,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,2048,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,4096,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,256,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,512,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,1024,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,2048,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,4096,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,512,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,1024,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,2048,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,4096,8,4200,custom-token,2048,2048,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,64,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,128,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,256,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,512,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,1024,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,2048,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,64,4096,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,128,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,256,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,512,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,1024,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,2048,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,128,4096,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,256,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,512,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,1024,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,2048,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,256,4096,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,512,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,1024,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,2048,8,6000,custom-token,5000,500,
v6e-8,mistralai/Mixtral-8x7B-v0.1,512,4096,8,6000,custom-token,5000,500,
