Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen
v6e-8,meta-llama/Llama-3.1-70B-Instruct,64,4096,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,128,128,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,128,256,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,128,512,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,128,1024,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,128,2048,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,128,4096,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,256,256,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,256,512,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,256,1024,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,256,2048,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,256,4096,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,512,512,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,512,1024,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,512,2048,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.1-70B-Instruct,512,4096,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,64,64,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,64,128,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,64,256,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,64,512,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,64,1024,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,64,2048,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,64,4096,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,128,128,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,128,256,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,128,512,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,128,1024,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,128,2048,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,128,4096,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,256,256,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,256,512,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,256,1024,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,256,2048,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,256,4096,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,512,512,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,512,1024,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,512,2048,8,2048,sonnet,1800,128
v6e-8,meta-llama/Llama-3.3-70B-Instruct,512,4096,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,64,64,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,64,128,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,64,256,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,64,512,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,64,1024,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,64,2048,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,64,4096,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,128,128,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,128,256,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,128,512,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,128,1024,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,128,2048,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,128,4096,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,256,256,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,256,512,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,256,1024,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,256,2048,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,256,4096,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,512,512,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,512,1024,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,512,2048,8,2048,sonnet,1800,128
v6e-8,mistralai/Codestral-22B-v0.1,512,4096,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,64,64,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,64,128,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,64,256,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,64,512,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,64,1024,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,64,2048,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,64,4096,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,128,128,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,128,256,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,128,512,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,128,1024,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,128,2048,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,128,4096,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,256,256,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,256,512,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,256,1024,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,256,2048,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,256,4096,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,512,512,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,512,1024,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,512,2048,8,2048,sonnet,1800,128
v6e-8,mistralai/Mistral-Small-24B-Instruct-2501,512,4096,8,2048,sonnet,1800,128
