Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts
b200-8,Qwen/Qwen3-32B,128,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,128,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,256,1024,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,256,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,256,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,512,1024,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,512,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,512,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,1024,1024,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,1024,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,1024,4096,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,2048,2048,8,2048,sonnet,1800,128,,
b200-8,Qwen/Qwen3-32B,2048,4096,8,2048,sonnet,1800,128,,
b200-8,google/gemma-3-27b-it,128,1024,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,128,2048,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,128,4096,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,256,1024,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,256,2048,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,256,4096,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,512,1024,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,512,2048,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,512,4096,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,1024,1024,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,1024,2048,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,1024,4096,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,2048,2048,8,1280,sonnet,1000,100,,
b200-8,google/gemma-3-27b-it,2048,4096,8,1280,sonnet,1000,100,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,1024,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,2048,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,128,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,1024,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,2048,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,256,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,1024,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,2048,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,512,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,1024,1024,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,1024,2048,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,1024,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,2048,2048,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.1-70B-Instruct,2048,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,128,1024,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,128,2048,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,128,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,256,1024,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,256,2048,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,256,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,512,1024,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,512,2048,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,512,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,1024,1024,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,1024,2048,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,1024,4096,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,2048,2048,8,2048,sonnet,1800,128,,
b200-8,meta-llama/Llama-3.3-70B-Instruct,2048,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,128,1024,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,128,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,128,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,256,1024,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,256,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,256,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,512,1024,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,512,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,512,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,1024,1024,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,1024,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,1024,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,2048,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Codestral-22B-v0.1,2048,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,128,1024,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,128,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,128,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,256,1024,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,256,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,256,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,512,1024,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,512,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,512,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,1024,1024,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,1024,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,1024,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,2048,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mistral-Small-24B-Instruct-2501,2048,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,128,1024,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,128,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,128,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,256,1024,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,256,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,256,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,512,1024,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,512,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,512,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,1024,1024,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,1024,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,1024,4096,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,2048,2048,8,2048,sonnet,1800,128,,
b200-8,mistralai/Mixtral-8x7B-Instruct-v0.1,2048,4096,8,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,128,1024,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,128,2048,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,128,4096,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,256,1024,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,256,2048,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,256,4096,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,512,1024,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,512,2048,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,512,4096,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,1024,1024,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,1024,2048,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,1024,4096,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,2048,2048,1,2048,sonnet,1800,128,,
b200-8,microsoft/Phi-3-mini-128k-instruct,2048,4096,1,2048,sonnet,1800,128,,
